Date,EUR,JPY,GBP,CNY
2017-03-27,0.920726,110.77016071,0.796315,6.87145
2017-03-28,0.924523,111.2322,0.805376,6.8802
2017-03-29,0.929473,111.1498,0.803846,6.890145
2017-03-30,0.935651,111.73998659,0.801461,6.88885
2017-03-31,0.937734,111.375,0.797194,6.8897
2017-04-01,0.937734,111.375,0.797194,6.8897
2017-04-02,0.937277,111.27313333,0.797453,6.8812
2017-04-03,0.937221,110.68933719,0.800577,6.8842
2017-04-04,0.936495,110.8475,0.803902,6.8858
2017-04-05,0.937035,110.396625,0.800828,6.8944
2017-04-06,0.939541,110.89311538,0.802005,6.897696
2017-04-07,0.944198,111.081,0.80821,6.90425
2017-04-08,0.944198,111.085,0.80819,6.90425
2017-04-09,0.945149,111.2217,0.808118,6.905819
2017-04-10,0.943622,110.69720833,0.804923,6.9037
2017-04-11,0.942478,109.563,0.800663,6.891681
2017-04-12,0.937192,108.89352778,0.796874,6.89155
2017-04-13,0.942032,109.11707143,0.799728,6.887363
2017-04-14,0.942241,108.585,0.798722,6.8877
2017-04-15,0.9423,108.595,0.798594,6.8854
2017-04-16,0.942508,108.316375,0.797804,6.891631
2017-04-17,0.939552,109.12902632,0.796353,6.869842
2017-04-18,0.932062,108.54866667,0.778634,6.8827
2017-04-19,0.933297,108.83188889,0.782378,6.886127
2017-04-20,0.933402,109.37916667,0.781207,6.8824
2017-04-21,0.932355,109.085,0.780825,6.8847
2017-04-22,0.932355,109.085,0.780825,6.8847
2017-04-23,0.919697,110.0315,0.779795,6.7928
2017-04-24,0.92026,109.63483333,0.782618,6.884522
2017-04-25,0.915105,111.07255128,0.779265,6.882962
2017-04-26,0.916717,111.1765,0.778318,6.8925
2017-04-27,0.920363,111.22110714,0.775641,6.89705
2017-04-28,0.917852,111.515,0.772114,6.8945
2017-04-29,0.917852,111.54493152,0.77229,6.895
2017-04-30,0.916961,111.3115,0.773294,6.912097
2017-05-01,0.916707,111.81792308,0.775344,6.8944
2017-05-02,0.914474,111.97311996,0.772736,6.894112
2017-05-03,0.918411,112.79946296,0.77682,6.898933
2017-05-04,0.910699,112.54928571,0.773663,6.8956
2017-05-05,0.909339,112.72675,0.770268,6.9032
2017-05-06,0.909339,112.72675,0.770268,6.9032
2017-05-07,0.911996,112.665,0.77112,6.883573
2017-05-08,0.915184,113.2235,0.772728,6.90442
2017-05-09,0.918589,113.70164286,0.772283,6.90805
2017-05-10,0.920198,114.337625,0.773415,6.90385
2017-05-11,0.920514,113.8175,0.775892,6.904429
2017-05-12,0.914662,113.375,0.775885,6.8989
2017-05-13,0.914662,113.375,0.775885,6.8989
2017-05-14,0.915089,113.2687948,0.776144,6.902661
2017-05-15,0.910738,113.64724562,0.775072,6.894504
2017-05-16,0.901429,112.68975,0.7742,6.8887
2017-05-17,0.896462,111.08653333,0.770991,6.8812
2017-05-18,0.90007,111.4385,0.771904,6.8901
2017-05-19,0.89222,111.225,0.767165,6.88445
2017-05-20,0.89222,111.265,0.767,6.88555
2017-05-21,0.89259,111.28577273,0.7686,6.85403
2017-05-22,0.889839,110.90513158,0.769648,6.8851
2017-05-23,0.894538,111.968,0.771818,6.891929
2017-05-24,0.890464,111.5415,0.770535,6.890571
2017-05-25,0.892053,111.74466667,0.773382,6.868434
2017-05-26,0.894254,111.321,0.780914,6.8531
2017-05-27,0.894325,111.321,0.780795,6.8556
2017-05-28,0.89476,111.254,0.78039,6.857517
2017-05-29,0.8985,111.18908003,0.780364,6.855242
2017-05-30,0.895083,110.84,0.780742,6.855552
